branch-misses_FEATURE_CONFIG,branch-misses_FEATURE_TYPE,branch-misses_INTERCEPT,branch-misses_R-VAL,branches_FEATURE_CONFIG,branches_FEATURE_TYPE,branches_INTERCEPT,branches_R-VAL,context-switches_FEATURE_CONFIG,context-switches_FEATURE_TYPE,context-switches_INTERCEPT,context-switches_R-VAL,cpu-migrations_FEATURE_CONFIG,cpu-migrations_FEATURE_TYPE,cpu-migrations_INTERCEPT,cpu-migrations_R-VAL,cycles_FEATURE_CONFIG,cycles_FEATURE_TYPE,cycles_INTERCEPT,cycles_R-VAL,instructions_FEATURE_CONFIG,instructions_FEATURE_TYPE,instructions_INTERCEPT,instructions_R-VAL,page-faults_FEATURE_CONFIG,page-faults_FEATURE_TYPE,page-faults_INTERCEPT,page-faults_R-VAL,stalled-cycles-frontend_FEATURE_CONFIG,stalled-cycles-frontend_FEATURE_TYPE,stalled-cycles-frontend_INTERCEPT,stalled-cycles-frontend_R-VAL,task-clock_FEATURE_CONFIG,task-clock_FEATURE_TYPE,task-clock_INTERCEPT,task-clock_R-VAL,label
0,LOG_POLYNOMIAL,12176.278639860398,5.274471559958294,1,POLYNOMIAL,354489.8418811041,31.023435300379777,0,LOG_POLYNOMIAL,0.0,0.0,0,LOG_POLYNOMIAL,0.0,0.0,3,LOG_POLYNOMIAL,1657272.38324269,1.4722602961244892e-05,1,POLYNOMIAL,2196944.89849295,137.26687233920643,0.9,FRACTIONAL_POWER,119.36451460061674,0.7558436224332522,5,LOG_POLYNOMIAL,2277557.4855760685,1.994809269682738e-11,3,POLYNOMIAL,2.470760207032896,-2.172036539848529e-10,0
0.8,FRACTIONAL_POWER,12300.866447717592,140.8668817979539,0.1,FRACTIONAL_POWER,360567.28259309824,278.4165529273586,0,LOG_POLYNOMIAL,0.0,0.0,0,LOG_POLYNOMIAL,0.0,0.0,0.1,FRACTIONAL_POWER,1682089.4234126573,572745.7321522835,0.1,FRACTIONAL_POWER,2224594.136989931,1481.1772656391254,2,LOG_POLYNOMIAL,119.64817793755522,-0.00031113099256776215,0.1,FRACTIONAL_POWER,2302203.5616946095,920402.6187129492,2,LOG_POLYNOMIAL,2.306075974404871,9.06084817082529e-05,0
0,LOG_POLYNOMIAL,12396.648839377069,38.928139430682066,1,POLYNOMIAL,358483.8229542373,81.01993294207412,0,LOG_POLYNOMIAL,0.0,0.0,0,LOG_POLYNOMIAL,0.0,0.0,8,POLYNOMIAL,1728552.8000053964,-6.062052277656224e-12,1,POLYNOMIAL,2220486.9996689735,384.3722577174262,1,POLYNOMIAL,119.8502243647629,0.005793195426571015,7,POLYNOMIAL,2376339.447338611,-1.7064238423717646e-09,8,POLYNOMIAL,2.396651709533658,1.6306265162228352e-17,0
4,POLYNOMIAL,12358.582719114393,-1.096653767508788e-05,1,POLYNOMIAL,355754.5028571429,256.76067226890564,0,LOG_POLYNOMIAL,0.0,0.0,0,LOG_POLYNOMIAL,0.0,0.0,2,POWER,1687910.98838083,-2.6873800536684468e-11,1,POLYNOMIAL,2204036.1608163263,1173.121536614638,0.9,FRACTIONAL_POWER,120.42656515751192,-0.706782361366172,2,POWER,2352376.8469631197,-8.473859310066796e-11,0.1,FRACTIONAL_POWER,2.4049903803481936,-3.415671156686642,0
1,POLYNOMIAL,12313.598463483417,3.715744432558612,1,POLYNOMIAL,354852.4591891826,327.2899002562442,0,LOG_POLYNOMIAL,0.0,0.0,0,LOG_POLYNOMIAL,0.0,0.0,1,POLYNOMIAL,1660531.0876917224,905.4840525445135,1,POLYNOMIAL,2198645.349032719,1587.1917426485595,2,LOG_POLYNOMIAL,119.22706388553809,1.132405879984898e-05,0,LOG_POLYNOMIAL,2305770.5394661846,15682.571976829575,0.1,FRACTIONAL_POWER,2.446310888956078,1.2321099667412827,0
1,LOG_POLYNOMIAL,12301.439319827172,0.48813465390427835,1,POLYNOMIAL,354513.40143112466,895.4765807452061,0,LOG_POLYNOMIAL,0.0,0.0,0,LOG_POLYNOMIAL,0.0,0.0,1,POLYNOMIAL,1742305.4450724304,1546.5600745215759,1,POLYNOMIAL,2197359.4995139986,4084.13915405838,0.9,FRACTIONAL_POWER,120.194693480248,0.9004821876004764,0.8,FRACTIONAL_POWER,2438268.0135175562,-80806.3541633286,1,POLYNOMIAL,2.3722881900348214,0.0029210677721946726,1
4,POLYNOMIAL,12200.347245731284,8.685049388244628e-07,1,POLYNOMIAL,354554.91541254416,31.760187674044303,0,LOG_POLYNOMIAL,0.0,0.0,0,LOG_POLYNOMIAL,0.0,0.0,0.6,FRACTIONAL_POWER,1705075.4948902396,-143458.92747944396,1,POLYNOMIAL,2197391.8142498326,140.22242603291954,1,POLYNOMIAL,120.45817790039422,-0.0055613334744946214,0.6,FRACTIONAL_POWER,2374900.608330152,-205629.24427476953,1,POLYNOMIAL,2.382440356626677,0.0008748429302943391,0
0,LOG_POLYNOMIAL,12309.69377258793,2.862036545119521,1,POLYNOMIAL,356665.5505884257,2.0000005647388237,0,LOG_POLYNOMIAL,0.0,0.0,0,LOG_POLYNOMIAL,0.0,0.0,1,POLYNOMIAL,-5951966.646856179,6.17305894216679,1,POLYNOMIAL,2208686.703528328,12.000000583952945,2,POWER,119.85714285714285,0.5714285714284955,1,POLYNOMIAL,-4882464.198352311,2.180425324669488,1,POLYNOMIAL,6.176916752887556,2.01113096641378e-06,1
2,POWER,12378.326530612247,-209.16326530612048,0,LOG_POLYNOMIAL,356091.0164387693,14.032866198179638,0,LOG_POLYNOMIAL,0.0,0.0,0,LOG_POLYNOMIAL,0.0,0.0,0,LOG_POLYNOMIAL,1641292.285903635,2557.94092207661,0,LOG_POLYNOMIAL,2206799.8407260044,70.27319202536299,0,LOG_POLYNOMIAL,118.59087812737006,0.10488637643897677,0,LOG_POLYNOMIAL,2228849.9468567176,4512.865156191418,2,LOG_POLYNOMIAL,2.298628239983417,2.2841592450296495e-15,1
1,POLYNOMIAL,12268.117551020408,7.331860744297738,2,POLYNOMIAL,355640.3144585132,4.278748446693832,0,LOG_POLYNOMIAL,0.0,0.0,0,LOG_POLYNOMIAL,0.0,0.0,1,LOG_POLYNOMIAL,1648141.6260723583,134.1824387860652,2,POLYNOMIAL,2203074.885225681,19.08684306851285,0.9,FRACTIONAL_POWER,119.56877230632007,-0.9424812605544701,0.7,FRACTIONAL_POWER,2267765.8520213766,51132.600461542046,1.5,POWER,2.440942031906354,-3.1737825447963404e-10,0
